Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
415,Entry short,2025-03-28 08:59,Short,19871.25,1,19871.25,163.5,0.41,176.5,0.44,-189,-0.48,1670.5,16.71
416,Exit short,2025-03-28 13:08,Exit Short,19467.5,1,19501,67,0.17,77,0.20,-3.5,-0.01,1737.5,17.38
416,Entry short,2025-03-28 12:57,Short,19501,1,19501,67,0.17,77,0.20,-3.5,-0.01,1737.5,17.38
417,Exit long,2025-03-31 12:30,Exit Long,19285.5,1,19266.75,37.5,0.10,38.5,0.10,-580,-1.51,1775,17.75
417,Entry long,2025-03-31 04:17,Long,19266.75,1,19266.75,37.5,0.10,38.5,0.10,-580,-1.51,1775,17.75
418,Exit long,2025-03-31 20:02,Exit Long,19339.5,1,19414,-149,-0.38,151,0.39,-178,-0.46,1626,16.26
418,Entry long,2025-03-31 14:54,Long,19414,1,19414,-149,-0.38,151,0.39,-178,-0.46,1626,16.26
419,Exit short,2025-03-31 20:42,Exit Short,19323.75,1,19339.5,31.5,0.08,37,0.10,-50,-0.13,1657.5,16.58
419,Entry short,2025-03-31 20:02,Short,19339.5,1,19339.5,31.5,0.08,37,0.10,-50,-0.13,1657.5,16.58
420,Exit short,2025-03-31 22:42,Exit Short,19370.75,1,19295.25,-151,-0.39,23,0.06,-154.5,-0.40,1506.5,15.07
420,Entry short,2025-03-31 21:08,Short,19295.25,1,19295.25,-151,-0.39,23,0.06,-154.5,-0.40,1506.5,15.07
421,Exit long,2025-03-31 22:58,Exit Long,19380.75,1,19370.75,20,0.05,23.5,0.06,-16,-0.04,1526.5,15.27
421,Entry long,2025-03-31 22:42,Long,19370.75,1,19370.75,20,0.05,23.5,0.06,-16,-0.04,1526.5,15.27
422,Exit long,2025-04-01 05:41,Exit Long,19500,1,19465.5,69,0.18,83.5,0.21,-11.5,-0.03,1595.5,15.96
422,Entry long,2025-04-01 04:54,Long,19465.5,1,19465.5,69,0.18,83.5,0.21,-11.5,-0.03,1595.5,15.96
423,Exit long,2025-04-01 10:44,Exit Long,19458.5,1,19407.25,102.5,0.26,114.5,0.29,-292,-0.75,1698,16.98
423,Entry long,2025-04-01 09:33,Long,19407.25,1,19407.25,102.5,0.26,114.5,0.29,-292,-0.75,1698,16.98
424,Exit long,2025-04-01 12:18,Exit Long,19638,1,19593.5,89,0.23,89,0.23,-124.5,-0.32,1787,17.87
424,Entry long,2025-04-01 11:23,Long,19593.5,1,19593.5,89,0.23,89,0.23,-124.5,-0.32,1787,17.87
425,Exit short,2025-04-02 08:10,Exit Short,19375,1,19398.25,46.5,0.12,50.5,0.13,-590,-1.52,1833.5,18.34
425,Entry short,2025-04-01 14:50,Short,19398.25,1,19398.25,46.5,0.12,50.5,0.13,-590,-1.52,1833.5,18.34
426,Exit short,2025-04-02 09:26,Exit Short,19330.25,1,19377.25,94,0.24,107,0.28,-39.5,-0.10,1927.5,19.28
426,Entry short,2025-04-02 08:24,Short,19377.25,1,19377.25,94,0.24,107,0.28,-39.5,-0.10,1927.5,19.28
427,Exit long,2025-04-02 11:39,Exit Long,19711.25,1,19649.75,123,0.31,128.5,0.33,0,0.00,2050.5,20.51
427,Entry long,2025-04-02 11:21,Long,19649.75,1,19649.75,123,0.31,128.5,0.33,0,0.00,2050.5,20.51
428,Exit long,2025-04-02 13:02,Exit Long,19820.75,1,19779,83.5,0.21,101,0.26,-2,-0.01,2134,21.34
428,Entry long,2025-04-02 12:48,Long,19779,1,19779,83.5,0.21,101,0.26,-2,-0.01,2134,21.34
429,Exit long,2025-04-02 16:28,Exit Long,19608.5,1,19925.75,-634.5,-1.59,239,0.60,-650.5,-1.63,1499.5,15.00
429,Entry long,2025-04-02 16:14,Long,19925.75,1,19925.75,-634.5,-1.59,239,0.60,-650.5,-1.63,1499.5,15.00
430,Exit short,2025-04-02 16:42,Exit Short,19158.75,1,19608.5,899.5,2.29,980,2.50,-7.5,-0.02,2399,23.99
430,Entry short,2025-04-02 16:28,Short,19608.5,1,19608.5,899.5,2.29,980,2.50,-7.5,-0.02,2399,23.99
431,Exit long,2025-04-02 22:02,Exit Long,19111.25,1,19044.75,133,0.35,161,0.42,-54.5,-0.14,2532,25.32
431,Entry long,2025-04-02 21:08,Long,19044.75,1,19044.75,133,0.35,161,0.42,-54.5,-0.14,2532,25.32
432,Exit short,2025-04-03 06:16,Exit Short,18993.5,1,19046.5,106,0.28,127.5,0.33,-9,-0.02,2638,26.38
432,Entry short,2025-04-03 05:46,Short,19046.5,1,19046.5,106,0.28,127.5,0.33,-9,-0.02,2638,26.38
433,Exit short,2025-04-03 08:40,Exit Short,18936.5,1,18988.25,103.5,0.27,125.5,0.33,-145.5,-0.38,2741.5,27.42
433,Entry short,2025-04-03 06:49,Short,18988.25,1,18988.25,103.5,0.27,125.5,0.33,-145.5,-0.38,2741.5,27.42
434,Exit short,2025-04-03 10:51,Exit Short,18771.25,1,18852.75,163,0.43,175,0.46,-442.5,-1.17,2904.5,29.05
434,Entry short,2025-04-03 08:57,Short,18852.75,1,18852.75,163,0.43,175,0.46,-442.5,-1.17,2904.5,29.05
435,Exit long,2025-04-03 14:32,Exit Long,18760.5,1,18970.25,-419.5,-1.11,36,0.09,-431,-1.14,2485,24.85
435,Entry long,2025-04-03 12:30,Long,18970.25,1,18970.25,-419.5,-1.11,36,0.09,-431,-1.14,2485,24.85
436,Exit short,2025-04-03 15:18,Exit Short,18737.25,1,18760.5,46.5,0.12,47,0.13,-211.5,-0.56,2531.5,25.32
436,Entry short,2025-04-03 14:32,Short,18760.5,1,18760.5,46.5,0.12,47,0.13,-211.5,-0.56,2531.5,25.32
437,Exit short,2025-04-03 23:52,Exit Short,18535,1,18577,84,0.23,110,0.30,-4,-0.01,2615.5,26.16
437,Entry short,2025-04-03 23:31,Short,18577,1,18577,84,0.23,110,0.30,-4,-0.01,2615.5,26.16
438,Exit short,2025-04-04 01:58,Exit Short,18639,1,18465.75,-346.5,-0.94,0,0.00,-351.5,-0.95,2269,22.69
438,Entry short,2025-04-04 01:05,Short,18465.75,1,18465.75,-346.5,-0.94,0,0.00,-351.5,-0.95,2269,22.69
439,Exit long,2025-04-04 05:28,Exit Long,18548.75,1,18639,-180.5,-0.48,73,0.20,-185.5,-0.50,2088.5,20.89
439,Entry long,2025-04-04 01:58,Long,18639,1,18639,-180.5,-0.48,73,0.20,-185.5,-0.50,2088.5,20.89
440,Exit short,2025-04-04 06:11,Exit Short,18415,1,18548.75,267.5,0.72,271.5,0.73,-106.5,-0.29,2356,23.56
440,Entry short,2025-04-04 05:28,Short,18548.75,1,18548.75,267.5,0.72,271.5,0.73,-106.5,-0.29,2356,23.56
441,Exit short,2025-04-04 07:25,Exit Short,18033.75,1,18077.25,87,0.24,118.5,0.33,-164,-0.45,2443,24.43
441,Entry short,2025-04-04 06:52,Short,18077.25,1,18077.25,87,0.24,118.5,0.33,-164,-0.45,2443,24.43
442,Exit long,2025-04-04 12:51,Exit Long,17724,1,18199,-950,-2.61,149.5,0.41,-1087.5,-2.99,1493,14.93
442,Entry long,2025-04-04 08:45,Long,18199,1,18199,-950,-2.61,149.5,0.41,-1087.5,-2.99,1493,14.93
443,Exit short,2025-04-04 13:16,Exit Short,17660.5,1,17724,127,0.36,130,0.37,-170.5,-0.48,1620,16.20
443,Entry short,2025-04-04 12:51,Short,17724,1,17724,127,0.36,130,0.37,-170.5,-0.48,1620,16.20
444,Exit short,2025-04-07 04:18,Exit Short,16892.25,1,16500.5,-783.5,-2.37,30.5,0.09,-799,-2.42,836.5,8.37
444,Entry short,2025-04-07 03:05,Short,16500.5,1,16500.5,-783.5,-2.37,30.5,0.09,-799,-2.42,836.5,8.37
445,Exit long,2025-04-07 06:22,Exit Long,17124.25,1,16892.25,464,1.37,486,1.44,-288,-0.85,1300.5,13.01
445,Entry long,2025-04-07 04:18,Long,16892.25,1,16892.25,464,1.37,486,1.44,-288,-0.85,1300.5,13.01
446,Exit long,2025-04-07 08:09,Exit Long,16996.5,1,17157.5,-322,-0.94,241.5,0.70,-330,-0.96,978.5,9.79
446,Entry long,2025-04-07 06:37,Long,17157.5,1,17157.5,-322,-0.94,241.5,0.70,-330,-0.96,978.5,9.79
447,Exit short,2025-04-07 09:41,Exit Short,16775.5,1,16996.5,442,1.30,503,1.48,-471.5,-1.39,1420.5,14.21
447,Entry short,2025-04-07 08:09,Short,16996.5,1,16996.5,442,1.30,503,1.48,-471.5,-1.39,1420.5,14.21
448,Exit long,2025-04-07 20:40,Exit Long,17826.5,1,17794.25,64.5,0.18,122.5,0.34,-778,-2.19,1485,14.85
448,Entry long,2025-04-07 14:19,Long,17794.25,1,17794.25,64.5,0.18,122.5,0.34,-778,-2.19,1485,14.85
449,Exit long,2025-04-08 06:21,Exit Long,17713.5,1,17852,-277,-0.78,82,0.23,-367,-1.03,1208,12.08
449,Entry long,2025-04-07 22:11,Long,17852,1,17852,-277,-0.78,82,0.23,-367,-1.03,1208,12.08
450,Exit short,2025-04-08 07:18,Exit Short,17827,1,17713.5,-227,-0.64,4,0.01,-243,-0.69,981,9.81
450,Entry short,2025-04-08 06:21,Short,17713.5,1,17713.5,-227,-0.64,4,0.01,-243,-0.69,981,9.81
451,Exit long,2025-04-08 07:36,Exit Long,17868.75,1,17827,83.5,0.23,110,0.31,-66.5,-0.19,1064.5,10.65
451,Entry long,2025-04-08 07:18,Long,17827,1,17827,83.5,0.23,110,0.31,-66.5,-0.19,1064.5,10.65
452,Exit long,2025-04-08 10:00,Exit Long,18248,1,18162.5,171,0.47,205.5,0.57,-200.5,-0.55,1235.5,12.35
452,Entry long,2025-04-08 09:34,Long,18162.5,1,18162.5,171,0.47,205.5,0.57,-200.5,-0.55,1235.5,12.35
453,Exit short,2025-04-08 12:21,Exit Short,17890.75,1,18012,242.5,0.67,251,0.70,-245.5,-0.68,1478,14.78
453,Entry short,2025-04-08 11:25,Short,18012,1,18012,242.5,0.67,251,0.70,-245.5,-0.68,1478,14.78
454,Exit short,2025-04-08 13:14,Exit Short,17573.25,1,17662.25,178,0.50,239,0.68,-143.5,-0.41,1656,16.56
454,Entry short,2025-04-08 13:00,Short,17662.25,1,17662.25,178,0.50,239,0.68,-143.5,-0.41,1656,16.56
455,Exit short,2025-04-08 14:12,Exit Short,17562.5,1,17573,21,0.06,171.5,0.49,-377,-1.07,1677,16.77
455,Entry short,2025-04-08 13:23,Short,17573,1,17573,21,0.06,171.5,0.49,-377,-1.07,1677,16.77
456,Exit short,2025-04-08 15:06,Exit Short,17357.25,1,17449.75,185,0.53,187.5,0.54,-48.5,-0.14,1862,18.62
456,Entry short,2025-04-08 14:57,Short,17449.75,1,17449.75,185,0.53,187.5,0.54,-48.5,-0.14,1862,18.62
457,Exit short,2025-04-08 19:18,Exit Short,16926.5,1,16999,145,0.43,163.5,0.48,-167,-0.49,2007,20.07
457,Entry short,2025-04-08 18:38,Short,16999,1,16999,145,0.43,163.5,0.48,-167,-0.49,2007,20.07
458,Exit short,2025-04-08 20:17,Exit Short,16859.25,1,16891.25,64,0.19,67,0.20,-215.5,-0.64,2071,20.71
458,Entry short,2025-04-08 19:45,Short,16891.25,1,16891.25,64,0.19,67,0.20,-215.5,-0.64,2071,20.71
459,Exit long,2025-04-08 23:56,Exit Long,16924.5,1,17176.25,-503.5,-1.47,33,0.10,-520.5,-1.52,1567.5,15.68
459,Entry long,2025-04-08 22:31,Long,17176.25,1,17176.25,-503.5,-1.47,33,0.10,-520.5,-1.52,1567.5,15.68
460,Exit short,2025-04-09 04:03,Exit Short,17402,1,16924.5,-955,-2.82,379,1.12,-1003,-2.96,612.5,6.13
460,Entry short,2025-04-08 23:56,Short,16924.5,1,16924.5,-955,-2.82,379,1.12,-1003,-2.96,612.5,6.13
461,Exit long,2025-04-09 06:34,Exit Long,17137.25,1,17402,-529.5,-1.52,17.5,0.05,-544.5,-1.56,83,0.83
461,Entry long,2025-04-09 04:03,Long,17402,1,17402,-529.5,-1.52,17.5,0.05,-544.5,-1.56,83,0.83
462,Exit short,2025-04-09 07:09,Exit Short,16984.25,1,17137.25,306,0.89,377,1.10,-471,-1.37,389,3.89
462,Entry short,2025-04-09 06:34,Short,17137.25,1,17137.25,306,0.89,377,1.10,-471,-1.37,389,3.89
463,Exit long,2025-04-09 09:41,Exit Long,17477.5,1,17245,465,1.35,473,1.37,-76,-0.22,854,8.54
463,Entry long,2025-04-09 09:31,Long,17245,1,17245,465,1.35,473,1.37,-76,-0.22,854,8.54
464,Exit long,2025-04-09 12:51,Exit Long,17542.25,1,17500.25,84,0.24,194,0.55,-571.5,-1.63,938,9.38
464,Entry long,2025-04-09 09:54,Long,17500.25,1,17500.25,84,0.24,194,0.55,-571.5,-1.63,938,9.38
465,Exit long,2025-04-09 13:28,Exit Long,18726.5,1,17978.25,1496.5,4.16,1612.5,4.48,-356.5,-0.99,2434.5,24.35
465,Entry long,2025-04-09 13:20,Long,17978.25,1,17978.25,1496.5,4.16,1612.5,4.48,-356.5,-0.99,2434.5,24.35
466,Exit long,2025-04-09 15:16,Exit Long,19012.25,1,18967.5,89.5,0.24,295,0.78,-502,-1.32,2524,25.24
466,Entry long,2025-04-09 14:19,Long,18967.5,1,18967.5,89.5,0.24,295,0.78,-502,-1.32,2524,25.24
467,Exit long,2025-04-09 16:59,Exit Long,19355.5,1,19256,199,0.52,264,0.69,-55,-0.14,2723,27.23
467,Entry long,2025-04-09 15:50,Long,19256,1,19256,199,0.52,264,0.69,-55,-0.14,2723,27.23
468,Exit short,2025-04-10 03:38,Exit Short,18950.5,1,18989.75,78.5,0.21,145,0.38,-392.5,-1.03,2801.5,28.02
468,Entry short,2025-04-09 23:43,Short,18989.75,1,18989.75,78.5,0.21,145,0.38,-392.5,-1.03,2801.5,28.02
469,Exit short,2025-04-10 04:33,Exit Short,18816.5,1,18898.5,164,0.43,167,0.44,-124.5,-0.33,2965.5,29.65
469,Entry short,2025-04-10 04:00,Short,18898.5,1,18898.5,164,0.43,167,0.44,-124.5,-0.33,2965.5,29.65
470,Exit short,2025-04-10 06:39,Exit Short,18990.25,1,18791.5,-397.5,-1.06,80,0.21,-405,-1.08,2568,25.68
470,Entry short,2025-04-10 04:55,Short,18791.5,1,18791.5,-397.5,-1.06,80,0.21,-405,-1.08,2568,25.68
471,Exit long,2025-04-10 12:15,Exit Long,18182,1,18990.25,-1616.5,-4.26,31.5,0.08,-1663,-4.38,951.5,9.52
471,Entry long,2025-04-10 06:39,Long,18990.25,1,18990.25,-1616.5,-4.26,31.5,0.08,-1663,-4.38,951.5,9.52
472,Exit short,2025-04-10 12:23,Exit Short,17977.75,1,18182,408.5,1.12,424.5,1.17,-13.5,-0.04,1360,13.60
472,Entry short,2025-04-10 12:15,Short,18182,1,18182,408.5,1.12,424.5,1.17,-13.5,-0.04,1360,13.60
473,Exit long,2025-04-10 18:44,Exit Long,18577.25,1,18553.5,47.5,0.13,62.5,0.17,-34,-0.09,1407.5,14.08
473,Entry long,2025-04-10 18:31,Long,18553.5,1,18553.5,47.5,0.13,62.5,0.17,-34,-0.09,1407.5,14.08
474,Exit short,2025-04-10 20:16,Exit Short,18274,1,18334.25,120.5,0.33,143,0.39,-9,-0.02,1528,15.28
474,Entry short,2025-04-10 20:02,Short,18334.25,1,18334.25,120.5,0.33,143,0.39,-9,-0.02,1528,15.28
475,Exit short,2025-04-10 23:55,Exit Short,18504,1,18178.75,-650.5,-1.79,214,0.59,-706.5,-1.94,877.5,8.77
475,Entry short,2025-04-10 20:44,Short,18178.75,1,18178.75,-650.5,-1.79,214,0.59,-706.5,-1.94,877.5,8.77
476,Exit long,2025-04-11 00:14,Exit Long,18532.75,1,18504,57.5,0.16,84,0.23,-63,-0.17,935,9.35
476,Entry long,2025-04-10 23:55,Long,18504,1,18504,57.5,0.16,84,0.23,-63,-0.17,935,9.35
477,Exit long,2025-04-11 02:02,Exit Long,18734.25,1,18647,174.5,0.47,186,0.50,-6,-0.02,1109.5,11.10
477,Entry long,2025-04-11 01:52,Long,18647,1,18647,174.5,0.47,186,0.50,-6,-0.02,1109.5,11.10
478,Exit short,2025-04-11 04:21,Exit Short,18467.75,1,18577.25,219,0.59,241,0.65,-215,-0.58,1328.5,13.29
478,Entry short,2025-04-11 03:29,Short,18577.25,1,18577.25,219,0.59,241,0.65,-215,-0.58,1328.5,13.29
479,Exit short,2025-04-11 05:52,Exit Short,18562.75,1,18392.75,-340,-0.92,155,0.42,-348,-0.95,988.5,9.89
479,Entry short,2025-04-11 04:34,Short,18392.75,1,18392.75,-340,-0.92,155,0.42,-348,-0.95,988.5,9.89
480,Exit long,2025-04-11 06:21,Exit Long,18629,1,18562.75,132.5,0.36,199,0.54,-12,-0.03,1121,11.21
480,Entry long,2025-04-11 05:52,Long,18562.75,1,18562.75,132.5,0.36,199,0.54,-12,-0.03,1121,11.21
481,Exit short,2025-04-11 11:19,Exit Short,18335.75,1,18369,66.5,0.18,198,0.54,-558,-1.52,1187.5,11.88
481,Entry short,2025-04-11 09:33,Short,18369,1,18369,66.5,0.18,198,0.54,-558,-1.52,1187.5,11.88
482,Exit long,2025-04-11 12:43,Exit Long,18740.5,1,18632.5,216,0.58,252,0.68,-4.5,-0.01,1403.5,14.04
482,Entry long,2025-04-11 12:32,Long,18632.5,1,18632.5,216,0.58,252,0.68,-4.5,-0.01,1403.5,14.04
483,Exit long,2025-04-13 23:27,Exit Long,19077,1,19044,66,0.17,83,0.22,-77,-0.20,1469.5,14.70
483,Entry long,2025-04-13 22:48,Long,19044,1,19044,66,0.17,83,0.22,-77,-0.20,1469.5,14.70
484,Exit long,2025-04-14 00:51,Exit Long,19120.25,1,19089.25,62,0.16,90,0.24,-0.5,0.00,1531.5,15.32
484,Entry long,2025-04-14 00:47,Long,19089.25,1,19089.25,62,0.16,90,0.24,-0.5,0.00,1531.5,15.32
485,Exit long,2025-04-14 02:37,Exit Long,19129.25,1,19102.25,54,0.14,101.5,0.27,-52.5,-0.14,1585.5,15.86
485,Entry long,2025-04-14 02:11,Long,19102.25,1,19102.25,54,0.14,101.5,0.27,-52.5,-0.14,1585.5,15.86
486,Exit long,2025-04-14 03:47,Exit Long,19138.75,1,19120.5,36.5,0.10,55,0.14,-93.5,-0.24,1622,16.22
486,Entry long,2025-04-14 03:06,Long,19120.5,1,19120.5,36.5,0.10,55,0.14,-93.5,-0.24,1622,16.22
487,Exit long,2025-04-14 08:38,Exit Long,19178.75,1,19159.5,38.5,0.10,61,0.16,-191.5,-0.50,1660.5,16.61
487,Entry long,2025-04-14 07:26,Long,19159.5,1,19159.5,38.5,0.10,61,0.16,-191.5,-0.50,1660.5,16.61
488,Exit long,2025-04-14 09:18,Exit Long,19215.25,1,19187,56.5,0.15,71.5,0.19,-26.5,-0.07,1717,17.17
488,Entry long,2025-04-14 08:58,Long,19187,1,19187,56.5,0.15,71.5,0.19,-26.5,-0.07,1717,17.17
489,Exit short,2025-04-14 12:12,Exit Short,18743.25,1,18869.25,252,0.67,261.5,0.69,-31,-0.08,1969,19.69
489,Entry short,2025-04-14 11:46,Short,18869.25,1,18869.25,252,0.67,261.5,0.69,-31,-0.08,1969,19.69
490,Exit long,2025-04-14 15:09,Exit Long,19077.25,1,19033,88.5,0.23,92,0.24,-24,-0.06,2057.5,20.58
490,Entry long,2025-04-14 15:01,Long,19033,1,19033,88.5,0.23,92,0.24,-24,-0.06,2057.5,20.58
491,Exit long,2025-04-15 03:07,Exit Long,18990.25,1,18928,124.5,0.33,174,0.46,-118,-0.31,2182,21.82
491,Entry long,2025-04-15 00:34,Long,18928,1,18928,124.5,0.33,174,0.46,-118,-0.31,2182,21.82
492,Exit short,2025-04-15 07:48,Exit Short,18898.75,1,18965,132.5,0.35,134.5,0.35,-42,-0.11,2314.5,23.15
492,Entry short,2025-04-15 07:13,Short,18965,1,18965,132.5,0.35,134.5,0.35,-42,-0.11,2314.5,23.15
493,Exit short,2025-04-15 08:24,Exit Short,18867.25,1,18900.5,66.5,0.18,93,0.25,-8.5,-0.02,2381,23.81
493,Entry short,2025-04-15 08:18,Short,18900.5,1,18900.5,66.5,0.18,93,0.25,-8.5,-0.02,2381,23.81
494,Exit long,2025-04-15 09:32,Exit Long,18992,1,18963,58,0.15,87,0.23,-0.5,0.00,2439,24.39
494,Entry long,2025-04-15 09:28,Long,18963,1,18963,58,0.15,87,0.23,-0.5,0.00,2439,24.39
495,Exit long,2025-04-15 09:50,Exit Long,19089.75,1,19012.75,154,0.40,183,0.48,-12.5,-0.03,2593,25.93
495,Entry long,2025-04-15 09:38,Long,19012.75,1,19012.75,154,0.40,183,0.48,-12.5,-0.03,2593,25.93
496,Exit short,2025-04-15 20:27,Exit Short,18680.25,1,18712.75,65,0.17,72,0.19,-46.5,-0.12,2658,26.58
496,Entry short,2025-04-15 19:34,Short,18712.75,1,18712.75,65,0.17,72,0.19,-46.5,-0.12,2658,26.58
497,Exit long,2025-04-16 04:09,Exit Long,18516.5,1,18601.75,-170.5,-0.46,26.5,0.07,-179.5,-0.48,2487.5,24.88
497,Entry long,2025-04-16 03:08,Long,18601.75,1,18601.75,-170.5,-0.46,26.5,0.07,-179.5,-0.48,2487.5,24.88
498,Exit short,2025-04-16 13:40,Exit Short,18455.25,1,18516.5,122.5,0.33,139,0.38,-689,-1.86,2610,26.10
498,Entry short,2025-04-16 04:09,Short,18516.5,1,18516.5,122.5,0.33,139,0.38,-689,-1.86,2610,26.10
499,Exit short,2025-04-16 16:15,Exit Short,18436.75,1,18140.75,-592,-1.63,49,0.14,-595.5,-1.64,2018,20.18
499,Entry short,2025-04-16 15:25,Short,18140.75,1,18140.75,-592,-1.63,49,0.14,-595.5,-1.64,2018,20.18
500,Exit long,2025-04-16 20:28,Exit Long,18439,1,18436.75,4.5,0.01,50,0.14,-201,-0.55,2022.5,20.23
500,Entry long,2025-04-16 16:15,Long,18436.75,1,18436.75,4.5,0.01,50,0.14,-201,-0.55,2022.5,20.23
501,Exit long,2025-04-16 22:17,Exit Long,18502.5,1,18476.25,52.5,0.14,73.5,0.20,-47,-0.13,2075,20.75
501,Entry long,2025-04-16 21:33,Long,18476.25,1,18476.25,52.5,0.14,73.5,0.20,-47,-0.13,2075,20.75
502,Exit long,2025-04-17 01:41,Exit Long,18557,1,18538.25,37.5,0.10,56,0.15,-43.5,-0.12,2112.5,21.13
502,Entry long,2025-04-17 00:41,Long,18538.25,1,18538.25,37.5,0.10,56,0.15,-43.5,-0.12,2112.5,21.13
503,Exit short,2025-04-17 07:11,Exit Short,18485,1,18510.25,50.5,0.14,53.5,0.14,-25.5,-0.07,2163,21.63
503,Entry short,2025-04-17 06:56,Short,18510.25,1,18510.25,50.5,0.14,53.5,0.14,-25.5,-0.07,2163,21.63
504,Exit long,2025-04-17 09:47,Exit Long,18383.25,1,18575.25,-384,-1.03,33.5,0.09,-398.5,-1.07,1779,17.79
504,Entry long,2025-04-17 08:34,Long,18575.25,1,18575.25,-384,-1.03,33.5,0.09,-398.5,-1.07,1779,17.79
505,Exit short,2025-04-17 10:31,Exit Short,18294.25,1,18383.25,178,0.48,184.5,0.50,-251,-0.68,1957,19.57
505,Entry short,2025-04-17 09:47,Short,18383.25,1,18383.25,178,0.48,184.5,0.50,-251,-0.68,1957,19.57
506,Exit long,2025-04-17 14:11,Exit Long,18497.75,1,18452.5,90.5,0.25,110,0.30,-172,-0.47,2047.5,20.47
506,Entry long,2025-04-17 12:53,Long,18452.5,1,18452.5,90.5,0.25,110,0.30,-172,-0.47,2047.5,20.47
507,Exit long,2025-04-20 21:19,Exit Long,18264,1,18517.5,-507,-1.37,3.5,0.01,-595,-1.61,1540.5,15.41
507,Entry long,2025-04-17 14:32,Long,18517.5,1,18517.5,-507,-1.37,3.5,0.01,-595,-1.61,1540.5,15.41
508,Exit short,2025-04-20 22:37,Exit Short,18240,1,18264,48,0.13,56,0.15,-104,-0.28,1588.5,15.89
508,Entry short,2025-04-20 21:19,Short,18264,1,18264,48,0.13,56,0.15,-104,-0.28,1588.5,15.89
509,Exit short,2025-04-21 02:46,Exit Short,18204,1,18218.75,29.5,0.08,42.5,0.12,-75,-0.21,1618,16.18
509,Entry short,2025-04-20 23:24,Short,18218.75,1,18218.75,29.5,0.08,42.5,0.12,-75,-0.21,1618,16.18
510,Exit short,2025-04-21 05:10,Exit Short,18163,1,18173.75,21.5,0.06,57,0.16,-41.5,-0.11,1639.5,16.40
510,Entry short,2025-04-21 03:22,Short,18173.75,1,18173.75,21.5,0.06,57,0.16,-41.5,-0.11,1639.5,16.40
511,Exit short,2025-04-21 11:29,Exit Short,17861,1,17922.75,123.5,0.34,127.5,0.36,-130.5,-0.36,1763,17.63
511,Entry short,2025-04-21 10:17,Short,17922.75,1,17922.75,123.5,0.34,127.5,0.36,-130.5,-0.36,1763,17.63
512,Exit short,2025-04-21 14:02,Exit Short,17708.5,1,17741.5,66,0.19,77,0.22,-66,-0.19,1829,18.29
512,Entry short,2025-04-21 13:26,Short,17741.5,1,17741.5,66,0.19,77,0.22,-66,-0.19,1829,18.29
513,Exit long,2025-04-22 02:51,Exit Long,18100,1,18058.5,83,0.23,86,0.24,-218.5,-0.60,1912,19.12
513,Entry long,2025-04-21 21:45,Long,18058.5,1,18058.5,83,0.23,86,0.24,-218.5,-0.60,1912,19.12
514,Exit short,2025-04-22 09:23,Exit Short,18140.75,1,18071.75,-138,-0.38,56,0.15,-152,-0.42,1774,17.74
514,Entry short,2025-04-22 04:09,Short,18071.75,1,18071.75,-138,-0.38,56,0.15,-152,-0.42,1774,17.74
515,Exit long,2025-04-22 09:46,Exit Long,18243.25,1,18140.75,205,0.57,205.5,0.57,-81,-0.22,1979,19.79
515,Entry long,2025-04-22 09:23,Long,18140.75,1,18140.75,205,0.57,205.5,0.57,-81,-0.22,1979,19.79
516,Exit long,2025-04-22 10:56,Exit Long,18324.75,1,18253.75,142,0.39,166,0.45,-26.5,-0.07,2121,21.21
516,Entry long,2025-04-22 10:00,Long,18253.75,1,18253.75,142,0.39,166,0.45,-26.5,-0.07,2121,21.21
517,Exit long,2025-04-22 12:01,Exit Long,18435.5,1,18381.5,108,0.29,110.5,0.30,-189,-0.51,2229,22.29
517,Entry long,2025-04-22 11:23,Long,18381.5,1,18381.5,108,0.29,110.5,0.30,-189,-0.51,2229,22.29
518,Exit short,2025-04-22 14:43,Exit Short,18365,1,18249.75,-230.5,-0.63,78.5,0.22,-244,-0.67,1998.5,19.99
518,Entry short,2025-04-22 13:49,Short,18249.75,1,18249.75,-230.5,-0.63,78.5,0.22,-244,-0.67,1998.5,19.99
519,Exit long,2025-04-22 15:57,Exit Long,18389.25,1,18365,48.5,0.13,69.5,0.19,-249,-0.68,2047,20.47
519,Entry long,2025-04-22 14:43,Long,18365,1,18365,48.5,0.13,69.5,0.19,-249,-0.68,2047,20.47
520,Exit long,2025-04-23 01:41,Exit Long,18737,1,18719.75,34.5,0.09,59,0.16,-77.5,-0.21,2081.5,20.82
520,Entry long,2025-04-23 00:31,Long,18719.75,1,18719.75,34.5,0.09,59,0.16,-77.5,-0.21,2081.5,20.82
521,Exit long,2025-04-23 02:25,Exit Long,18759,1,18743.25,31.5,0.08,42.5,0.11,-23.5,-0.06,2113,21.13
521,Entry long,2025-04-23 02:11,Long,18743.25,1,18743.25,31.5,0.08,42.5,0.11,-23.5,-0.06,2113,21.13
522,Exit long,2025-04-23 04:42,Exit Long,18856.5,1,18829.75,53.5,0.14,56.5,0.15,-2.5,-0.01,2166.5,21.67
522,Entry long,2025-04-23 04:34,Long,18829.75,1,18829.75,53.5,0.14,56.5,0.15,-2.5,-0.01,2166.5,21.67
