Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
16,Exit long,2024-12-17 14:21,Exit Long,22285.25,1,22362.5,-154.5,-0.35,47.5,0.11,-158.5,-0.35,303.5,3.03
16,Entry long,2024-12-17 11:35,Long,22362.5,1,22362.5,-154.5,-0.35,47.5,0.11,-158.5,-0.35,303.5,3.03
17,Exit short,2024-12-17 15:24,Exit Short,22258.75,1,22285.25,53,0.12,55,0.12,-21,-0.05,356.5,3.57
17,Entry short,2024-12-17 14:21,Short,22285.25,1,22285.25,53,0.12,55,0.12,-21,-0.05,356.5,3.57
18,Exit long,2024-12-17 20:26,Exit Long,22300,1,22289.25,21.5,0.05,25.5,0.06,-18.5,-0.04,378,3.78
18,Entry long,2024-12-17 19:43,Long,22289.25,1,22289.25,21.5,0.05,25.5,0.06,-18.5,-0.04,378,3.78
19,Exit long,2024-12-17 21:11,Exit Long,22325.75,1,22320.5,10.5,0.02,12.5,0.03,-7.5,-0.02,388.5,3.89
19,Entry long,2024-12-17 20:57,Long,22320.5,1,22320.5,10.5,0.02,12.5,0.03,-7.5,-0.02,388.5,3.89
20,Exit long,2024-12-17 23:30,Exit Long,22331.25,1,22325.75,11,0.02,15,0.03,-53,-0.12,399.5,4.00
20,Entry long,2024-12-17 21:43,Long,22325.75,1,22325.75,11,0.02,15,0.03,-53,-0.12,399.5,4.00
21,Exit long,2024-12-18 05:17,Exit Long,22370,1,22354,32,0.07,34.5,0.08,-3,-0.01,431.5,4.32
21,Entry long,2024-12-18 05:10,Long,22354,1,22354,32,0.07,34.5,0.08,-3,-0.01,431.5,4.32
22,Exit short,2024-12-18 08:42,Exit Short,22336.75,1,22355.75,38,0.08,38.5,0.09,-3,-0.01,469.5,4.70
22,Entry short,2024-12-18 08:32,Short,22355.75,1,22355.75,38,0.08,38.5,0.09,-3,-0.01,469.5,4.70
23,Exit short,2024-12-18 09:55,Exit Short,22289.5,1,22244.75,-89.5,-0.20,67,0.15,-96,-0.22,380,3.80
23,Entry short,2024-12-18 09:32,Short,22244.75,1,22244.75,-89.5,-0.20,67,0.15,-96,-0.22,380,3.80
24,Exit long,2024-12-18 10:39,Exit Long,22312.5,1,22289.5,46,0.10,52.5,0.12,-34,-0.08,426,4.26
24,Entry long,2024-12-18 09:55,Long,22289.5,1,22289.5,46,0.10,52.5,0.12,-34,-0.08,426,4.26
25,Exit short,2024-12-18 14:47,Exit Short,21983,1,22075.25,184.5,0.42,187.5,0.42,-118.5,-0.27,610.5,6.11
25,Entry short,2024-12-18 14:30,Short,22075.25,1,22075.25,184.5,0.42,187.5,0.42,-118.5,-0.27,610.5,6.11
26,Exit short,2024-12-18 15:28,Exit Short,21738.75,1,21823.75,170,0.39,196.5,0.45,-80,-0.18,780.5,7.81
26,Entry short,2024-12-18 15:12,Short,21823.75,1,21823.75,170,0.39,196.5,0.45,-80,-0.18,780.5,7.81
27,Exit long,2024-12-19 03:54,Exit Long,21584.5,1,21545.25,78.5,0.18,80.5,0.19,-234.5,-0.54,859,8.59
